id,filename,genre,subgenre,artist,title
"Blues_-_Traditional-Brownie_McGhee_-_Aint_No_Tellin","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Brownie McGhee - Aint No Tellin.mid",Blues,Traditional,Brownie McGhee,"Aint No Tellin"
"Blues_-_Traditional-Brownie_McGhee_-_Key_to_the_Highway","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Brownie McGhee - Key to the Highway.mid",Blues,Traditional,Brownie McGhee,"Key to the Highway"
"Blues_-_Traditional-Buddy_Guy_-_Rollin_and_Tumblin","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Buddy Guy - Rollin and Tumblin.mid",Blues,Traditional,Buddy Guy,"Rollin and Tumblin"
"Blues_-_Traditional-Charlie_Patton_-_Screamin_and_Hollerin_the_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Charlie Patton - Screamin and Hollerin the Blues.mid",Blues,Traditional,Charlie Patton,"Screamin and Hollerin the Blues"
"Blues_-_Traditional-Chris_Thomas_King_-_Hard_Time_Killing_Floor_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Chris Thomas King - Hard Time Killing Floor Blues.mid",Blues,Traditional,Chris Thomas King,"Hard Time Killing Floor Blues"
"Blues_-_Traditional-Doc_Watson_-_Blues_Stay_Away_From_Me","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Doc Watson - Blues Stay Away From Me.mid",Blues,Traditional,Doc Watson,"Blues Stay Away From Me"
"Blues_-_Traditional-Eric_Clapton_-_Before_You_Accuse_Me","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Eric Clapton - Before You Accuse Me.mid",Blues,Traditional,Eric Clapton,"Before You Accuse Me"
"Blues_-_Traditional-Howlin_Wolf_-_Little_Red_Rooster","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Howlin Wolf - Little Red Rooster.mid",Blues,Traditional,Howlin Wolf,"Little Red Rooster"
"Blues_-_Traditional-James_Cotton_-_Dont_Start_Me_Talkin","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/James Cotton - Dont Start Me Talkin.mid",Blues,Traditional,James Cotton,"Dont Start Me Talkin"
"Blues_-_Traditional-James_Cotton_-_Juke","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/James Cotton - Juke.mid",Blues,Traditional,James Cotton,"Juke"
"Blues_-_Traditional-Johnny_Winter_-_Dallas","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Johnny Winter - Dallas.mid",Blues,Traditional,Johnny Winter,"Dallas"
"Blues_-_Traditional-Lightnin_Hopkins_-_In_The_Evening_The_Sun_Is_Going_Down","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Lightnin Hopkins - In The Evening The Sun Is Going Down.mid",Blues,Traditional,Lightnin Hopkins,"In The Evening The Sun Is Going Down"
"Blues_-_Traditional-Lightnin_Hopkins_-_Trouble_In_Mind_Time","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Lightnin Hopkins - Trouble In Mind Time.mid",Blues,Traditional,Lightnin Hopkins,"Trouble In Mind Time"
"Blues_-_Traditional-Mama_Yancey_-_How_Long_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Mama Yancey - How Long Blues.mid",Blues,Traditional,Mama Yancey,"How Long Blues"
"Blues_-_Traditional-Misissipi_Fred_McDowell_-_My_Babe","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Misissipi Fred McDowell - My Babe.mid",Blues,Traditional,Misissipi Fred McDowell,"My Babe"
"Blues_-_Traditional-Muddy_Waters_-_Good_Morning_Little_School_Girl","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Muddy Waters - Good Morning Little School Girl.mid",Blues,Traditional,Muddy Waters,"Good Morning Little School Girl"
"Blues_-_Traditional-Muddy_Waters_-_Hoochie_Coochie_Man","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Muddy Waters - Hoochie Coochie Man.mid",Blues,Traditional,Muddy Waters,"Hoochie Coochie Man"
"Blues_-_Traditional-Muddy_Waters_-_Kansas_City","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Muddy Waters - Kansas City.mid",Blues,Traditional,Muddy Waters,"Kansas City"
"Blues_-_Traditional-Robert_Johnson_-_Cross_Road_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Robert Johnson - Cross Road Blues.mid",Blues,Traditional,Robert Johnson,"Cross Road Blues"
"Blues_-_Traditional-Robert_Johnson_-_I_Believe_I'll_Dust_My_Broom","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Robert Johnson - I Believe I'll Dust My Broom.mid",Blues,Traditional,Robert Johnson,"I Believe I'll Dust My Broom"
"Blues_-_Traditional-Robert_Johnson_-_Sweet_Home_Chicago","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Robert Johnson - Sweet Home Chicago.mid",Blues,Traditional,Robert Johnson,"Sweet Home Chicago"
"Blues_-_Traditional-Robert_Johnson_-_Terraplane_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Robert Johnson - Terraplane Blues.mid",Blues,Traditional,Robert Johnson,"Terraplane Blues"
"Blues_-_Traditional-Robert_Johnson_-_Walking_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Robert Johnson - Walking Blues.mid",Blues,Traditional,Robert Johnson,"Walking Blues"
"Blues_-_Traditional-Skip_James_-_Special_Rider_Blues","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Blues - Traditional/Skip James - Special Rider Blues.mid",Blues,Traditional,Skip James,"Special Rider Blues"
"Classical_-_Baroque-Bach_J_S_-_Art_of_Fugue_Fugue_No_3","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Bach J S - Art of Fugue Fugue No 3.mid",Classical,Baroque,Bach J S,"Art of Fugue Fugue No 3"
"Classical_-_Baroque-Bach_J_S_-_Cello_Suite_No_1_Prelude","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Bach J S - Cello Suite No 1 Prelude.mid",Classical,Baroque,Bach J S,"Cello Suite No 1 Prelude"
"Classical_-_Baroque-Bach_J_S_-_Prelude_And_Fugue_For_Organ_In_C","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Bach J S - Prelude And Fugue For Organ In C.mid",Classical,Baroque,Bach J S,"Prelude And Fugue For Organ In C"
"Classical_-_Baroque-Bach_J_S_-_St_Matthew_Passion_Kommt_ihr_Tochter","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Bach J S - St Matthew Passion Kommt ihr Tochter.mid",Classical,Baroque,Bach J S,"St Matthew Passion Kommt ihr Tochter"
"Classical_-_Baroque-Bach_J_S_-_Was_bist_du_doch+_o_Seele+_so_betru","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Bach J S - Was bist du doch, o Seele, so betru.mid",Classical,Baroque,Bach J S,"Was bist du doch o Seele, so betru"
"Classical_-_Baroque-Buxtehude_-_Fugue_in_C","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Buxtehude - Fugue in C.mid",Classical,Baroque,Buxtehude,"Fugue in C"
"Classical_-_Baroque-Buxtehude_-_Herr_Jesu_Christ+_ich_weiss_gar_wohl","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Buxtehude - Herr Jesu Christ, ich weiss gar wohl.mid",Classical,Baroque,Buxtehude,"Herr Jesu Christ ich weiss gar wohl"
"Classical_-_Baroque-Buxtehude_-_Praeludium_in_E_BuxWV141","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Buxtehude - Praeludium in E BuxWV141.mid",Classical,Baroque,Buxtehude,"Praeludium in E BuxWV141"
"Classical_-_Baroque-Corelli_-_Concerto_Grosso_in_G_min_Op_6_No_8_1_and_2","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Corelli - Concerto Grosso in G min Op 6 No 8 1 and 2.mid",Classical,Baroque,Corelli,"Concerto Grosso in G min Op 6 No 8 1 and 2"
"Classical_-_Baroque-Handel_-_Solomon+_Arrival_of_the_Queen_of_Sheba","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Handel - Solomon, Arrival of the Queen of Sheba.mid",Classical,Baroque,Handel,"Solomon Arrival of the Queen of Sheba"
"Classical_-_Baroque-Handel_-_Suite_for_Harpsichord_in_D_minor_Sarabande","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Handel - Suite for Harpsichord in D minor Sarabande.mid",Classical,Baroque,Handel,"Suite for Harpsichord in D minor Sarabande"
"Classical_-_Baroque-Handel_-_Water_Music_Suite_1_in_F_Bouree","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Handel - Water Music Suite 1 in F Bouree.mid",Classical,Baroque,Handel,"Water Music Suite 1 in F Bouree"
"Classical_-_Baroque-Marais_-_Sonnerie_de_Ste_Genevieve_du_Mont_de_Paris","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Marais - Sonnerie de Ste Genevieve du Mont de Paris.mid",Classical,Baroque,Marais,"Sonnerie de Ste Genevieve du Mont de Paris"
"Classical_-_Baroque-Monteverdi_-_Altri_canti_d'Amor","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Monteverdi - Altri canti d'Amor.mid",Classical,Baroque,Monteverdi,"Altri canti d'Amor"
"Classical_-_Baroque-Monteverdi_-_Ecco_pur+_ch'avoi_ritorno","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Monteverdi - Ecco pur, ch'avoi ritorno.mid",Classical,Baroque,Monteverdi,"Ecco pur ch'avoi ritorno"
"Classical_-_Baroque-Monteverdi_-_L'Orfeo+_Tu_se_morta","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Monteverdi - L'Orfeo, Tu se morta.mid",Classical,Baroque,Monteverdi,"L'Orfeo Tu se morta"
"Classical_-_Baroque-Pachelbel_-_Canon_in_D","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Pachelbel - Canon in D.mid",Classical,Baroque,Pachelbel,"Canon in D"
"Classical_-_Baroque-Purcell_-_Dido_and_Aeneas_When_I_am_laid_in_earth","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Purcell - Dido and Aeneas When I am laid in earth.mid",Classical,Baroque,Purcell,"Dido and Aeneas When I am laid in earth"
"Classical_-_Baroque-Scarlatti_D_-_Keyboard_Sonata_in_D_minor_K1","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Scarlatti D - Keyboard Sonata in D minor K1.mid",Classical,Baroque,Scarlatti D,"Keyboard Sonata in D minor K1"
"Classical_-_Baroque-Scarlatti_D_-_Sonata_in_A_K039","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Scarlatti D - Sonata in A K039.mid",Classical,Baroque,Scarlatti D,"Sonata in A K039"
"Classical_-_Baroque-Scarlatti_D_-_Sonata_in_D_K119","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Scarlatti D - Sonata in D K119.mid",Classical,Baroque,Scarlatti D,"Sonata in D K119"
"Classical_-_Baroque-Vivaldi_-_Concerto_for_2_Violins_and_Cello_in_F_Op_3_No_7","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Vivaldi - Concerto for 2 Violins and Cello in F Op 3 No 7.mid",Classical,Baroque,Vivaldi,"Concerto for 2 Violins and Cello in F Op 3 No 7"
"Classical_-_Baroque-Vivaldi_-_Four_Seasons_Spring_Allegro","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Vivaldi - Four Seasons Spring Allegro.mid",Classical,Baroque,Vivaldi,"Four Seasons Spring Allegro"
"Classical_-_Baroque-Vivaldi_-_Violin_Concerto_in_A_minor_Op_3_No_6","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Vivaldi - Violin Concerto in A minor Op 3 No 6.mid",Classical,Baroque,Vivaldi,"Violin Concerto in A minor Op 3 No 6"
"Classical_-_Baroque-Vivaldi_-_Violin_Concerto_in_G_No_3_Op_3","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Baroque/Vivaldi - Violin Concerto in G No 3 Op 3.mid",Classical,Baroque,Vivaldi,"Violin Concerto in G No 3 Op 3"
"Classical_-_Romantic-Beethoven_-_Bagatelles_Op_126_Allegro_in_G-","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Beethoven - Bagatelles Op 126 Allegro in G-.mid",Classical,Romantic,Beethoven,"Bagatelles Op 126 Allegro in G"
"Classical_-_Romantic-Beethoven_-_Eroica_1st_Mvmt","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Beethoven - Eroica 1st Mvmt.mid",Classical,Romantic,Beethoven,"Eroica 1st Mvmt"
"Classical_-_Romantic-Beethoven_-_Fur_Elise","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Beethoven - Fur Elise.mid",Classical,Romantic,Beethoven,"Fur Elise"
"Classical_-_Romantic-Berlioz_-_Harold_In_Italy_Op_16","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Berlioz - Harold In Italy Op 16.mid",Classical,Romantic,Berlioz,"Harold In Italy Op 16"
"Classical_-_Romantic-Berlioz_-_Symphonie_Fantastique","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Berlioz - Symphonie Fantastique.mid",Classical,Romantic,Berlioz,"Symphonie Fantastique"
"Classical_-_Romantic-Brahms_-_Symphony_No_2_in_D_Op_73_Allegro_Non_Troppo","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Brahms - Symphony No 2 in D Op 73 Allegro Non Troppo.mid",Classical,Romantic,Brahms,"Symphony No 2 in D Op 73 Allegro Non Troppo"
"Classical_-_Romantic-Chopin_-_Ballade_No_3_in_Ab_Op_47","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Chopin - Ballade No 3 in Ab Op 47.mid",Classical,Romantic,Chopin,"Ballade No 3 in Ab Op 47"
"Classical_-_Romantic-Chopin_-_Nocturne_No_13_in_C_Op_48","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Chopin - Nocturne No 13 in C Op 48.mid",Classical,Romantic,Chopin,"Nocturne No 13 in C Op 48"
"Classical_-_Romantic-Dvorak_-_Symphony_no_9_in_e_minor_Adagio","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Dvorak - Symphony no 9 in e minor Adagio.mid",Classical,Romantic,Dvorak,"Symphony no 9 in e minor Adagio"
"Classical_-_Romantic-Liszt_-_Concerto_in_Eb_1st_and_2nd_Mov","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Liszt - Concerto in Eb 1st and 2nd Mov.mid",Classical,Romantic,Liszt,"Concerto in Eb 1st and 2nd Mov"
"Classical_-_Romantic-Liszt_-_Etude_Transcendentales_No_5","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Liszt - Etude Transcendentales No 5.mid",Classical,Romantic,Liszt,"Etude Transcendentales No 5"
"Classical_-_Romantic-Mendelssohn_-_A_Midsummer_Nights_Dream_Overture","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Mendelssohn - A Midsummer Nights Dream Overture.mid",Classical,Romantic,Mendelssohn,"A Midsummer Nights Dream Overture"
"Classical_-_Romantic-Mendelssohn_-_Songs_Without_Words_Op_38_No_1_in_Eb","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Mendelssohn - Songs Without Words Op 38 No 1 in Eb .mid",Classical,Romantic,Mendelssohn,"Songs Without Words Op 38 No 1 in Eb"
"Classical_-_Romantic-Mendelssohn_-_Violin_Conerto_64_Alegro","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Mendelssohn - Violin Conerto 64 Alegro.mid",Classical,Romantic,Mendelssohn,"Violin Conerto 64 Alegro"
"Classical_-_Romantic-Paganini_-_Capricho_No_7","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Paganini - Capricho No 7.mid",Classical,Romantic,Paganini,"Capricho No 7"
"Classical_-_Romantic-Puccini_-_O_mio_babbino_caro","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Puccini - O mio babbino caro.mid",Classical,Romantic,Puccini,"O mio babbino caro"
"Classical_-_Romantic-Rossini_-_Barber_of_Seville_Una_voce_poco_fa","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Rossini - Barber of Seville Una voce poco fa.mid",Classical,Romantic,Rossini,"Barber of Seville Una voce poco fa"
"Classical_-_Romantic-Schubert_-_Gretchen_am_Spinnrade","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Schubert - Gretchen am Spinnrade.mid",Classical,Romantic,Schubert,"Gretchen am Spinnrade"
"Classical_-_Romantic-Schumann_-_Trio_para_piano_violin_y_violoncello_op110_1er_mov","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Schumann - Trio para piano violin y violoncello op110 1er mov.mid",Classical,Romantic,Schumann,"Trio para piano violin y violoncello op110 1er mov"
"Classical_-_Romantic-Verdi_-_Aida_Celeste","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Verdi - Aida Celeste.mid",Classical,Romantic,Verdi,"Aida Celeste"
"Classical_-_Romantic-Verdi_-_Aida_Finale_du_deuxieme_acte","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Verdi - Aida Finale du deuxieme acte.mid",Classical,Romantic,Verdi,"Aida Finale du deuxieme acte"
"Classical_-_Romantic-Verdi_-_Requiem+_dies_irae","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Verdi - Requiem, dies irae.mid",Classical,Romantic,Verdi,"Requiem dies irae"
"Classical_-_Romantic-Wagner_-_Ride_of_the_Valkyrie","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Wagner - Ride of the Valkyrie.mid",Classical,Romantic,Wagner,"Ride of the Valkyrie"
"Classical_-_Romantic-Wagner_-_Siegfried_Idyll","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Wagner - Siegfried Idyll.mid",Classical,Romantic,Wagner,"Siegfried Idyll"
"Classical_-_Romantic-Wagner_-_Tristan_und_Isolde+_Prelude","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Classical - Romantic/Wagner - Tristan und Isolde, Prelude.mid",Classical,Romantic,Wagner,"Tristan und Isolde Prelude"
"Jazz_-_Bop-Art_Blakey_-_Moanin","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Art Blakey - Moanin.mid",Jazz,Bop,Art Blakey,"Moanin"
"Jazz_-_Bop-Bud_Powell_-_Ornithology","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Bud Powell - Ornithology.mid",Jazz,Bop,Bud Powell,"Ornithology"
"Jazz_-_Bop-Bud_Powell_-_Scrapple_from_the_Apple","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Bud Powell - Scrapple from the Apple.mid",Jazz,Bop,Bud Powell,"Scrapple from the Apple"
"Jazz_-_Bop-Charlie_Parker_-_Au_Privave","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Charlie Parker - Au Privave.mid",Jazz,Bop,Charlie Parker,"Au Privave"
"Jazz_-_Bop-Charlie_Parker_-_Donna_Lee","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Charlie Parker - Donna Lee.mid",Jazz,Bop,Charlie Parker,"Donna Lee"
"Jazz_-_Bop-Dizzy_Gillepsie_-_52nd_Street_Theme","/Users/pasquale/git/midi2vec/SLAC_MIDI_Dataset/Jazz - Bop/Dizzy Gillepsie - 52nd Street Theme.mid",Jazz,Bop,Dizzy Gillepsie,"52nd Street Theme"
